Symbol,Name,InstrumentToken,ExchangeToken,InstrumentType,Segment,Exchange,IsActive
NIFTY 50,"NIFTY 50",256265,1001,EQ,INDICES,NSE,True
NIFTY MIDCAP 100,"NIFTY MIDCAP 100",256777,1003,EQ,INDICES,NSE,True
NIFTY BANK,"NIFTY BANK",260105,1016,EQ,INDICES,NSE,True
NIFTY 100,"NIFTY 100",260617,1018,EQ,INDICES,NSE,True
NIFTY DIV OPPS 50,"NIFTY DIV OPPS 50",257033,1004,EQ,INDICES,NSE,True
NIFTY COMMODITIES,"NIFTY COMMODITIES",257289,1005,EQ,INDICES,NSE,True
NIFTY CONSUMPTION,"NIFTY CONSUMPTION",257545,1006,EQ,INDICES,NSE,True
NIFTY FIN SERVICE,"NIFTY FIN SERVICE",257801,1007,EQ,INDICES,NSE,True
NIFTY50 PR 2X LEV,"NIFTY50 PR 2X LEV",258825,1011,EQ,INDICES,NSE,True
NIFTY50 PR 1X INV,"NIFTY50 PR 1X INV",259081,1012,EQ,INDICES,NSE,True
NIFTY50 TR 2X LEV,"NIFTY50 TR 2X LEV",259337,1013,EQ,INDICES,NSE,True
NIFTY50 TR 1X INV,"NIFTY50 TR 1X INV",259593,1014,EQ,INDICES,NSE,True
NIFTY IT,"NIFTY IT",259849,1015,EQ,INDICES,NSE,True
NIFTY MIDCAP 50,"NIFTY MIDCAP 50",260873,1019,EQ,INDICES,NSE,True
NIFTY REALTY,"NIFTY REALTY",261129,1020,EQ,INDICES,NSE,True
NIFTY INFRA,"NIFTY INFRA",261385,1021,EQ,INDICES,NSE,True
NIFTY ENERGY,"NIFTY ENERGY",261641,1022,EQ,INDICES,NSE,True
NIFTY FMCG,"NIFTY FMCG",261897,1023,EQ,INDICES,NSE,True
NIFTY MNC,"NIFTY MNC",262153,1024,EQ,INDICES,NSE,True
NIFTY PHARMA,"NIFTY PHARMA",262409,1025,EQ,INDICES,NSE,True
NIFTY PSE,"NIFTY PSE",262665,1026,EQ,INDICES,NSE,True
NIFTY PSU BANK,"NIFTY PSU BANK",262921,1027,EQ,INDICES,NSE,True
NIFTY SERV SECTOR,"NIFTY SERV SECTOR",263177,1028,EQ,INDICES,NSE,True
NIFTY AUTO,"NIFTY AUTO",263433,1029,EQ,INDICES,NSE,True
NIFTY METAL,"NIFTY METAL",263689,1030,EQ,INDICES,NSE,True
NIFTY MEDIA,"NIFTY MEDIA",263945,1031,EQ,INDICES,NSE,True
NIFTY 200,"NIFTY 200",264457,1033,EQ,INDICES,NSE,True
HANGSENG BEES-NAV,"HANGSENG BEES-NAV",264713,1034,EQ,INDICES,NSE,True
INDIA VIX,"INDIA VIX",264969,1035,EQ,INDICES,NSE,True
NIFTY50 DIV POINT,"NIFTY50 DIV POINT",265225,1036,EQ,INDICES,NSE,True
NIFTY200 QUALTY30,"NIFTY200 QUALTY30",265737,1038,EQ,INDICES,NSE,True
NIFTY ALPHA 50,"NIFTY ALPHA 50",265993,1039,EQ,INDICES,NSE,True
NIFTY MIDCAP 150,"NIFTY MIDCAP 150",266249,1040,EQ,INDICES,NSE,True
NIFTY MIDSML 400,"NIFTY MIDSML 400",266505,1041,EQ,INDICES,NSE,True
NIFTY SMLCAP 50,"NIFTY SMLCAP 50",266761,1042,EQ,INDICES,NSE,True
NIFTY SMLCAP 100,"NIFTY SMLCAP 100",267017,1043,EQ,INDICES,NSE,True
NIFTY SMLCAP 250,"NIFTY SMLCAP 250",267273,1044,EQ,INDICES,NSE,True
NIFTY50 VALUE 20,"NIFTY50 VALUE 20",267529,1045,EQ,INDICES,NSE,True
NIFTY100 LIQ 15,"NIFTY100 LIQ 15",267785,1046,EQ,INDICES,NSE,True
NIFTY 500,"NIFTY 500",268041,1047,EQ,INDICES,NSE,True
NIFTY CPSE,"NIFTY CPSE",268297,1048,EQ,INDICES,NSE,True
NIFTY GS 4 8YR,"NIFTY GS 4 8YR",268553,1049,EQ,INDICES,NSE,True
NIFTY GS 8 13YR,"NIFTY GS 8 13YR",268809,1050,EQ,INDICES,NSE,True
NIFTY GS 10YR,"NIFTY GS 10YR",269065,1051,EQ,INDICES,NSE,True
NIFTY GS 10YR CLN,"NIFTY GS 10YR CLN",269321,1052,EQ,INDICES,NSE,True
NIFTY GS 11 15YR,"NIFTY GS 11 15YR",269577,1053,EQ,INDICES,NSE,True
NIFTY GS 15YRPLUS,"NIFTY GS 15YRPLUS",269833,1054,EQ,INDICES,NSE,True
NIFTY GS COMPSITE,"NIFTY GS COMPSITE",270089,1055,EQ,INDICES,NSE,True
NIFTY GROWSECT 15,"NIFTY GROWSECT 15",270345,1056,EQ,INDICES,NSE,True
NIFTY MID LIQ 15,"NIFTY MID LIQ 15",270601,1057,EQ,INDICES,NSE,True
NIFTY NEXT 50,"NIFTY NEXT 50",270857,1058,EQ,INDICES,NSE,True
NIFTY PVT BANK,"NIFTY PVT BANK",271113,1059,EQ,INDICES,NSE,True
NIFTY50 EQL WGT,"NIFTY50 EQL WGT",271625,1061,EQ,INDICES,NSE,True
NIFTY100 EQL WGT,"NIFTY100 EQL WGT",271881,1062,EQ,INDICES,NSE,True
NIFTY100 LOWVOL30,"NIFTY100 LOWVOL30",272137,1063,EQ,INDICES,NSE,True
NIFTY100 QUALTY30,"NIFTY100 QUALTY30",272393,1064,EQ,INDICES,NSE,True
NIFTY ALPHALOWVOL,"NIFTY ALPHALOWVOL",273673,1069,EQ,INDICES,NSE,True
NIFTY MID SELECT,"NIFTY MIDCAP SELECT (MIDCPNIFTY)",288009,1125,EQ,INDICES,NSE,True
NIFTY FINSRV25 50,"NIFTY FINSRV25 50",288265,1126,EQ,INDICES,NSE,True
NIFTY HEALTHCARE,"NIFTY HEALTHCARE",288521,1127,EQ,INDICES,NSE,True
NIFTY CONSR DURBL,"NIFTY CONSR DURBL",288777,1128,EQ,INDICES,NSE,True
NIFTY OIL AND GAS,"NIFTY OIL AND GAS",289033,1129,EQ,INDICES,NSE,True
NIFTY500 MULTICAP,"NIFTY500 MULTICAP",289289,1130,EQ,INDICES,NSE,True
NIFTY LARGEMID250,"NIFTY LARGEMID250",289545,1131,EQ,INDICES,NSE,True
NIFTY200MOMENTM30,"NIFTY200MOMENTM30",290057,1133,EQ,INDICES,NSE,True
NIFTY TOTAL MKT,"NIFTY TOTAL MKT",290313,1134,EQ,INDICES,NSE,True
NIFTY MICROCAP250,"NIFTY MICROCAP250",290569,1135,EQ,INDICES,NSE,True
NIFTY M150 QLTY50,"NIFTY M150 QLTY50",290825,1136,EQ,INDICES,NSE,True
NIFTY INDIA MFG,"NIFTY INDIA MFG",291081,1137,EQ,INDICES,NSE,True
NIFTY IND DIGITAL,"NIFTY IND DIGITAL",291337,1138,EQ,INDICES,NSE,True
NIFTY100 ESG,"NIFTY100 ESG",291593,1139,EQ,INDICES,NSE,True
NIFTY200 ALPHA 30,"NIFTY200 ALPHA 30",294409,1150,EQ,INDICES,NSE,True
NIFTYM150MOMNTM50,"NIFTYM150MOMNTM50",294665,1151,EQ,INDICES,NSE,True
NIFTY TATA 25 CAP,"NIFTY TATA 25 CAP",294921,1152,EQ,INDICES,NSE,True
NIFTY MULTI MFG,"NIFTY MULTI MFG",295177,1153,EQ,INDICES,NSE,True
NIFTY MULTI INFRA,"NIFTY MULTI INFRA",295433,1154,EQ,INDICES,NSE,True
NIFTY MIDSML HLTH,"NIFTY MIDSML HLTH",295689,1155,EQ,INDICES,NSE,True
NIFTY AQL 30,"NIFTY ALPHA QUALITY LOW-VOLATILITY 30",404745,1581,EQ,INDICES,NSE,True
NIFTY AQLV 30,"NIFTY ALPHA QUALITY VALUE LOW VOLATILITY 30",405001,1582,EQ,INDICES,NSE,True
NIFTY CORP MAATR,"NIFTY INDIA SELECT 5 CORPORATE GROUPS",405257,1583,EQ,INDICES,NSE,True
NIFTY EV,"NIFTY EV & NEW AGE AUTOMOTIVE",405513,1584,EQ,INDICES,NSE,True
NIFTY HIGHBETA 50,"NIFTY HIGHBETA 50",405769,1585,EQ,INDICES,NSE,True
NIFTY LOW VOL 50,"NIFTY LOW VOLATILITY 50",406025,1586,EQ,INDICES,NSE,True
NIFTY MOBILITY,"NIFTY MOBILITY",406281,1587,EQ,INDICES,NSE,True
NIFTY MULTI MQ 50,"NIFTY500 MULTICAP MOMENTUM QUALITY 50",406537,1588,EQ,INDICES,NSE,True
NIFTY NEW CONSUMP,"NIFTY INDIA NEW AGE CONSUMPTION",406793,1589,EQ,INDICES,NSE,True
NIFTY QLTY LV 30,"NIFTY QUALITY LOW VOLATILITY 30",407049,1590,EQ,INDICES,NSE,True
NIFTY SML250 Q50,"NIFTY SMALLCAP250 QUALITY 50",407305,1591,EQ,INDICES,NSE,True
NIFTY TOP 10 EW,"NIFTY TOP 10 EQUAL WEIGHT",407561,1592,EQ,INDICES,NSE,True
NIFTY TOP 15 EW,"NIFTY TOP 15 EQUAL WEIGHT",407817,1593,EQ,INDICES,NSE,True
NIFTY TOP 20 EW,"NIFTY TOP 20 EQUAL WEIGHT",408073,1594,EQ,INDICES,NSE,True
NIFTY100 ALPHA 30,"NIFTY100 ALPHA 30",408329,1595,EQ,INDICES,NSE,True
NIFTY100 ENHANCED ESG,"NIFTY100 ENHANCED ESG",408585,1596,EQ,INDICES,NSE,True
NIFTY200 VALUE 30,"NIFTY200 VALUE 30",408841,1597,EQ,INDICES,NSE,True
NIFTY500 EQUAL WEIGHT,"NIFTY500 EQUAL WEIGHT",409097,1598,EQ,INDICES,NSE,True
NIFTY500 VALUE 50,"NIFTY500 VALUE 50",409353,1599,EQ,INDICES,NSE,True
NIFTY500MOMENTM50,"NIFTY500 MOMENTUM 50",409609,1600,EQ,INDICES,NSE,True
NIFTYMS400 MQ 100,"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100",409865,1601,EQ,INDICES,NSE,True
NIFTYSML250MQ 100,"NIFTY SMALLCAP250 MOMENTUM QUALITY 100",410121,1602,EQ,INDICES,NSE,True
NIFTY CORE HOUSING,"NIFTY CORE HOUSING",410377,1603,EQ,INDICES,NSE,True
NIFTY FINSEREXBNK,"NIFTY FINANCIAL SERVICES",410633,1604,EQ,INDICES,NSE,True
NIFTY HOUSING,"NIFTY HOUSING",410889,1605,EQ,INDICES,NSE,True
NIFTY IPO,"NIFTY IPO",411145,1606,EQ,INDICES,NSE,True
NIFTY MS FIN SERV,"NIFTY MIDSMALL FINANCIAL SERVICES",411401,1607,EQ,INDICES,NSE,True
NIFTY MS IND CONS,"NIFTY MIDSMALL INDIA CONSUMPTION",411657,1608,EQ,INDICES,NSE,True
NIFTY MS IT TELCM,"NIFTY MIDSMALL IT & TELECOM",411913,1609,EQ,INDICES,NSE,True
NIFTY NONCYC CONS,"NIFTY NON-CYCLICAL CONSUMER",412169,1610,EQ,INDICES,NSE,True
NIFTY RURAL,"NIFTY RURAL",412425,1611,EQ,INDICES,NSE,True
NIFTY SHARIAH 25,"NIFTY SHARIAH 25",412681,1612,EQ,INDICES,NSE,True
NIFTY TRANS LOGIS,"NIFTY TRANSPORTATION & LOGISTICS",412937,1613,EQ,INDICES,NSE,True
NIFTY50 SHARIAH,"NIFTY50 SHARIAH",413193,1614,EQ,INDICES,NSE,True
NIFTY500 LMS EQL,"NIFTY500 LARGEMIDSMALL EQUAL CAP WEIGHTED",413449,1615,EQ,INDICES,NSE,True
NIFTY500 SHARIAH,"NIFTY500 SHARIAH",413705,1616,EQ,INDICES,NSE,True
NIFTY IND DEFENCE,"NIFTY INDIA DEFENCE",413961,1617,EQ,INDICES,NSE,True
NIFTY IND TOURISM,"NIFTY INDIA TOURISM",414217,1618,EQ,INDICES,NSE,True
NIFTY CAPITAL MKT,"NIFTY CAPITAL MARKETS",414473,1619,EQ,INDICES,NSE,True
NIFTY500 LOWVOL50,"NSE INDEX NIFTY500 LOWVOL50",417801,1632,EQ,INDICES,NSE,True
NIFTY500 MQVLV50,"NSE INDEX NIFTY500 MQVLV50",418057,1633,EQ,INDICES,NSE,True
NIFTY500 QLTY50,"NSE INDEX NIFTY500 QLTY50",418313,1634,EQ,INDICES,NSE,True
NIFTY50 USD,"NSE INDEX NIFTY50 USD",418569,1635,EQ,INDICES,NSE,True
NIFTY FPI 150,"NIFTY FPI 150",418825,1636,EQ,INDICES,NSE,True
NIFTY500 FLEXICAP,"NIFTY500 FLEXICAP",419081,1637,EQ,INDICES,NSE,True
NIFTY TMMQ 50,"NIFTY TMMQ 50",419337,1638,EQ,INDICES,NSE,True
NIFTY SME EMERGE,"NSE INDEX NIFTY SME EMERGE",419593,1639,EQ,INDICES,NSE,True
NIFTY INTERNET,"NIFTY INTERNET",419849,1640,EQ,INDICES,NSE,True
NIFTY CHEMICALS,"NSE INDEX NIFTY CHEMICALS",420105,1641,EQ,INDICES,NSE,True
NIFTY WAVES,"NSE INDEX NIFTY WAVES",420361,1642,EQ,INDICES,NSE,True
NIFTY INFRALOG,"NSE INDEX NIFTY INFRALOG",420617,1643,EQ,INDICES,NSE,True
NIFTY500 HEALTH,"NIFTY500 HEALTH",420873,1644,EQ,INDICES,NSE,True
NIFTY RAILWAYS PSU,"NIFTY RAILWAYS PSU",421129,1645,EQ,INDICES,NSE,True
NIFTYCONGLOMERATE,"NIFTYCONGLOMERATE",421385,1646,EQ,INDICES,NSE,True
AARTIIND,"AARTI INDUSTRIES",1793,7,EQ,NSE,NSE,True
ABB,"ABB INDIA",3329,13,EQ,NSE,NSE,True
GATECHDVR,"GACM TECHNOLOGIES",4353,17,EQ,NSE,NSE,True
STYRENIX,"STYRENIX PERFORMANCE",4865,19,EQ,NSE,NSE,True
ACC,"ACC",5633,22,EQ,NSE,NSE,True
ADANIENT,"ADANI ENTERPRISES",6401,25,EQ,NSE,NSE,True
ADOR,"ADOR WELDING",8705,34,EQ,NSE,NSE,True
AEGISLOG,"AEGIS LOGISTICS",10241,40,EQ,NSE,NSE,True
SANWARIA-BZ,"SANWARIA CONSUMER",11777,46,EQ,NSE,NSE,True
HAPPSTMNDS,"HAPPIEST MINDS TECHNO",12289,48,EQ,NSE,NSE,True
ALEMBICLTD,"ALEMBIC",20225,79,EQ,NSE,NSE,True
ARE&M,"AMARA RAJA ENERGY MOB",25601,100,EQ,NSE,NSE,True
SHAREINDIA,"SHARE IND. SECURITIES",26625,104,EQ,NSE,NSE,True
ROUTE,"ROUTE MOBILE",32769,128,EQ,NSE,NSE,True
ANDHRSUGAR,"ANDHRA SUGARS",34817,136,EQ,NSE,NSE,True
GODREJAGRO,"GODREJ AGROVET",36865,144,EQ,NSE,NSE,True
APCOTEXIND,"APCOTEX INDUSTRIES LIMITE",39425,154,EQ,NSE,NSE,True
APOLLOHOSP,"APOLLO HOSPITALS ENTER. L",40193,157,EQ,NSE,NSE,True
APOLLOTYRE,"APOLLO TYRES",41729,163,EQ,NSE,NSE,True
ANDHRAPAP,"ANDHRA PAPER",42497,166,EQ,NSE,NSE,True
ARENTERP,"RAJDARSHAN INDUSTRIES",46337,181,EQ,NSE,NSE,True
TCPLPACK,"TCPL PACKAGING",47105,184,EQ,NSE,NSE,True
ARVIND,"ARVIND",49409,193,EQ,NSE,NSE,True
MASFIN,"MAS FINANCIAL SERV",50945,199,EQ,NSE,NSE,True
ASHAPURMIN,"ASHAPURA MINECHEM",51969,203,EQ,NSE,NSE,True
UNIDT-BE,"UNITED DRILLING TOOLS",52225,204,EQ,NSE,NSE,True
ASHIMASYN,"ASHIMA",52737,206,EQ,NSE,NSE,True
ASHOKLEY,"ASHOK LEYLAND",54273,212,EQ,NSE,NSE,True
IEX,"INDIAN ENERGY EXC",56321,220,EQ,NSE,NSE,True
AAKASH,"AAKASH EXPLORATION SER L",60161,235,EQ,NSE,NSE,True
ASIANPAINT,"ASIAN PAINTS",60417,236,EQ,NSE,NSE,True
ADL,"ARCHIDPLY DECOR",62721,245,EQ,NSE,NSE,True
NIRAJ-BE,"NIRAJ CEMENT STRUC",66817,261,EQ,NSE,NSE,True
ATUL,"ATUL",67329,263,EQ,NSE,NSE,True
AUROPHARMA,"AUROBINDO PHARMA",70401,275,EQ,NSE,NSE,True
CHEMCON-BE,"CHEMCON SPECIAL CHEM",70657,276,EQ,NSE,NSE,True
GICRE,"GENERAL INS CORP OF INDIA",70913,277,EQ,NSE,NSE,True
AUTOAXLES,"AUTOMOTIVE AXLES",71169,278,EQ,NSE,NSE,True
BAJAJHLDNG,"BAJAJ HOLDINGS & INVS",78081,305,EQ,NSE,NSE,True
BAJAJHIND,"BAJAJ HINDUSTHAN SUGAR LT",78849,308,EQ,NSE,NSE,True
TIINDIA,"TUBE INVEST OF INDIA",79873,312,EQ,NSE,NSE,True
BAJFINANCE,"BAJAJ FINANCE",81153,317,EQ,NSE,NSE,True
ANGELONE,"ANGEL ONE",82945,324,EQ,NSE,NSE,True
VALIANTORG-BE,"VALIANT ORGANICS",85505,334,EQ,NSE,NSE,True
BALKRISIND,"BALKRISHNA IND.",85761,335,EQ,NSE,NSE,True
BALMLAWRIE,"BALMER LAWRIE & CO",86529,338,EQ,NSE,NSE,True
BALRAMCHIN,"BALRAMPUR CHINI MILLS",87297,341,EQ,NSE,NSE,True
CAMS,"COMPUTER AGE MNGT SER",87553,342,EQ,NSE,NSE,True
BANARBEADS,"BANARAS BEADS",88833,347,EQ,NSE,NSE,True
BANARISUG,"BANNARI AMMAN SUGARS",89601,350,EQ,NSE,NSE,True
NAM-INDIA,"NIPPON L I A M",91393,357,EQ,NSE,NSE,True
ROML,"RAJ OIL MILLS",91905,359,EQ,NSE,NSE,True
BASF,"BASF INDIA",94209,368,EQ,NSE,NSE,True
BATAINDIA,"BATA INDIA",94977,371,EQ,NSE,NSE,True
BBTC,"BOMBAY BURMAH TRADING COR",97281,380,EQ,NSE,NSE,True
SINTERCOM,"SINTERCOM INDIA",97537,381,EQ,NSE,NSE,True
BEL,"BHARAT ELECTRONICS",98049,383,EQ,NSE,NSE,True
MAHLOG,"MAHINDRA LOGISTIC",98561,385,EQ,NSE,NSE,True
GLOBE,"GLOBE ENTERPRISE (I)",100609,393,EQ,NSE,NSE,True
BEML,"BEML",101121,395,EQ,NSE,NSE,True
NIACL,"THE NEW INDIA ASSU CO",102145,399,EQ,NSE,NSE,True
BERGEPAINT,"BERGER PAINTS (I)",103425,404,EQ,NSE,NSE,True
BEPL,"BHANSALI ENG. POLYMERS LT",107265,419,EQ,NSE,NSE,True
BHARATFORG,"BHARAT FORGE",108033,422,EQ,NSE,NSE,True
KHADIM-BE,"KHADIM INDIA",110849,433,EQ,NSE,NSE,True
IFGLEXPOR,"IFGL REFRACTORIES",111617,436,EQ,NSE,NSE,True
BHEL,"BHEL",112129,438,EQ,NSE,NSE,True
HDFCLIFE,"HDFC LIFE INS CO",119553,467,EQ,NSE,NSE,True
OSWALGREEN,"OSWAL GREENTECH",120577,471,EQ,NSE,NSE,True
BIRLACORPN,"BIRLA CORPORATION",122881,480,EQ,NSE,NSE,True
ICEMAKE,"ICE MAKE REFRIGERAT",125185,489,EQ,NSE,NSE,True
BLUEDART,"BLUE DART EXPRESS",126721,495,EQ,NSE,NSE,True
MAZDOCK,"MAZAGON DOCK SHIPBUIL",130305,509,EQ,NSE,NSE,True
BOMDYEING,"BOMBAY DYEING & MFG. CO L",131329,513,EQ,NSE,NSE,True
ICICIB22,"BHARAT 22 ETF",133633,522,EQ,NSE,NSE,True
BPCL,"BHARAT PETROLEUM CORP  LT",134657,526,EQ,NSE,NSE,True
UTIAMC,"UTI ASSET MNGMT CO",134913,527,EQ,NSE,NSE,True
BPL,"BPL",135681,530,EQ,NSE,NSE,True
BRITANNIA,"BRITANNIA INDUSTRIES",140033,547,EQ,NSE,NSE,True
BSL,"BSL",143105,559,EQ,NSE,NSE,True
LIKHITHA,"LIKHITHA INFRASTRUC",147969,578,EQ,NSE,NSE,True
CANFINHOME,"CAN FIN HOMES",149249,583,EQ,NSE,NSE,True
GRAPHITE,"GRAPHITE INDIA",151553,592,EQ,NSE,NSE,True
CARBORUNIV,"CARBORUNDUM UNIVERSAL",152321,595,EQ,NSE,NSE,True
CENTENKA,"CENTURY ENKA",158465,619,EQ,NSE,NSE,True
ABREL,"ADITYA BIRLA REAL EST",160001,625,EQ,NSE,NSE,True
CESC,"CESC",160769,628,EQ,NSE,NSE,True
IGARASHI,"IGARASHI MOTORS INDIA",162305,634,EQ,NSE,NSE,True
CHAMBLFERT,"CHAMBAL FERTILIZERS",163073,637,EQ,NSE,NSE,True
DNAMEDIA,"DILIGENT MEDIA CORP",164097,641,EQ,NSE,NSE,True
EXIDEIND,"EXIDE INDUSTRIES",173057,676,EQ,NSE,NSE,True
CHOLAFIN,"CHOLAMANDALAM IN & FIN CO",175361,685,EQ,NSE,NSE,True
CIPLA,"CIPLA",177665,694,EQ,NSE,NSE,True
HEMIPROP,"HEMISPHERE PROP IND",179457,701,EQ,NSE,NSE,True
DICIND,"DIC INDIA",179969,703,EQ,NSE,NSE,True
SHRADHA,"SHRADHA REALTY",181249,708,EQ,NSE,NSE,True
SHALBY,"SHALBY",182785,714,EQ,NSE,NSE,True
SUDARCOLOR,"SUDARSHAN COLORNT IND",183041,715,EQ,NSE,NSE,True
SBIETFPB,"SBI ETF PRIVATE BANK ETF",184833,722,EQ,NSE,NSE,True
COROMANDEL,"COROMANDEL INTERNTL.",189185,739,EQ,NSE,NSE,True
SBIETFIT,"SBI ETF IT ETF",189441,740,EQ,NSE,NSE,True
COSMOFIRST,"COSMO FIRST",189953,742,EQ,NSE,NSE,True
CRISIL,"CRISIL",193793,757,EQ,NSE,NSE,True
CGPOWER,"CG POWER AND IND SOL",194561,760,EQ,NSE,NSE,True
DABUR,"DABUR INDIA",197633,772,EQ,NSE,NSE,True
KEEPLEARN,"DSJ KEEP LEARNING",199169,778,EQ,NSE,NSE,True
DALMIASUG,"DALMIA BHARAT SUG IN",199937,781,EQ,NSE,NSE,True
SHIVATEX,"SHIVA TEXYARN",205825,804,EQ,NSE,NSE,True
DCMSHRIRAM,"DCM SHRIRAM",207617,811,EQ,NSE,NSE,True
BSHSL-BE,"BOMBAY SUPER HYBRID SEEDS",207873,812,EQ,NSE,NSE,True
DCW,"DCW",209153,817,EQ,NSE,NSE,True
DEEPAKFERT,"DEEPAK FERTILIZERS & PETR",211713,827,EQ,NSE,NSE,True
BANKA-BE,"BANKA BIOLOO",211969,828,EQ,NSE,NSE,True
DHAMPURSUG,"DHAMPUR SUGAR MILLS",219393,857,EQ,NSE,NSE,True
ASTRON-BE,"ASTRON PAPER BORD MIL",225281,880,EQ,NSE,NSE,True
DRREDDY,"DR. REDDY S LABORATORIES",225537,881,EQ,NSE,NSE,True
KHAICHEM-BE,"KHAITAN CHEM & FERT",230913,902,EQ,NSE,NSE,True
EICHERMOT,"EICHER MOTORS",232961,910,EQ,NSE,NSE,True
EQUITASBNK,"EQUITAS SMALL FIN BNK",233729,913,EQ,NSE,NSE,True
EIDPARRY,"EID PARRY INDIA",234497,916,EQ,NSE,NSE,True
EIHOTEL,"EIH - OBEROI HOTELS",235265,919,EQ,NSE,NSE,True
ORCHPHARMA,"ORCHID PHARMA",237057,926,EQ,NSE,NSE,True
ELECTCAST,"ELECTROSTEEL CASTINGS",237569,928,EQ,NSE,NSE,True
DPABHUSHAN,"D. P. ABHUSHAN",239617,936,EQ,NSE,NSE,True
ELGIEQUIP,"ELGI EQUIPMENTS",239873,937,EQ,NSE,NSE,True
PGHL,"PROCTER & GAMBLE HEALTH L",240641,940,EQ,NSE,NSE,True
ESABINDIA,"ESAB INDIA",244481,955,EQ,NSE,NSE,True
ESCORTS,"ESCORTS KUBOTA",245249,958,EQ,NSE,NSE,True
SUBEXLTD-BE,"SUBEX",245505,959,EQ,NSE,NSE,True
EPL,"EPL",251137,981,EQ,NSE,NSE,True
FACT,"FACT",258049,1008,EQ,NSE,NSE,True
SCHAEFFLER,"SCHAEFFLER INDIA",258817,1011,EQ,NSE,NSE,True
FEDERALBNK,"FEDERAL BANK",261889,1023,EQ,NSE,NSE,True
AARON,"AARON INDUSTRIES",263681,1030,EQ,NSE,NSE,True
FINCABLES,"FINOLEX CABLES",265729,1038,EQ,NSE,NSE,True
FINPIPE,"FINOLEX INDUSTRIES",266497,1041,EQ,NSE,NSE,True
BNKETFAXIS,"AXISAMC-BNKETFAXIS",267265,1044,EQ,NSE,NSE,True
UFLEX,"UFLEX",269569,1053,EQ,NSE,NSE,True
FOSECOIND,"FOSECO INDIA",274689,1073,EQ,NSE,NSE,True
ZENSARTECH,"ZENSAR TECHNOLOGIES",275457,1076,EQ,NSE,NSE,True
GABRIEL,"GABRIEL INDIA",277761,1085,EQ,NSE,NSE,True
GARFIBRES,"GARWARE TECH FIBRES",281601,1100,EQ,NSE,NSE,True
DANGEE,"DANGEE DUMS",284161,1110,EQ,NSE,NSE,True
GHCL,"GHCL",288513,1127,EQ,NSE,NSE,True
APOLLO,"APOLLO MICRO SYSTEMS",290305,1134,EQ,NSE,NSE,True
GTECJAINX-BE,"G-TEC JAINX EDUCATION",290561,1135,EQ,NSE,NSE,True
GICHSGFIN,"GIC HOUSING FINANCE",291585,1139,EQ,NSE,NSE,True
GIPCL,"GUJ IND POW CO.",293121,1145,EQ,NSE,NSE,True
GLAXO,"GLAXOSMITHKLINE PHARMA LT",295169,1153,EQ,NSE,NSE,True
GTL,"GTL",297473,1162,EQ,NSE,NSE,True
NEWGEN,"NEWGEN SOFTWARE TECH",297985,1164,EQ,NSE,NSE,True
GMBREW,"G M BREWERIES",299009,1168,EQ,NSE,NSE,True
GNFC,"GUJ NAR VAL FER & CHEM L",300545,1174,EQ,NSE,NSE,True
GODFRYPHLP,"GODFREY PHILLIPS INDIA LT",302337,1181,EQ,NSE,NSE,True
AMBER,"AMBER ENTERPRISES (I)",303361,1185,EQ,NSE,NSE,True
GLAND,"GLAND PHARMA",303617,1186,EQ,NSE,NSE,True
FMGOETZE,"FEDERAL-MOGUL GOETZE (IND",304641,1190,EQ,NSE,NSE,True
KANSAINER,"KANSAI NEROLAC PAINTS",306177,1196,EQ,NSE,NSE,True
ESG,"MIRAE ASSET NIFTY 100 ESG SECTOR LEADERS ETF",307201,1200,EQ,NSE,NSE,True
GOODYEAR,"GOODYEAR INDIA",308481,1205,EQ,NSE,NSE,True
DELTAMAGNT,"DELTA MANUFACTURING",310785,1214,EQ,NSE,NSE,True
PRAXIS-BE,"PRAXIS HOME RETAIL",311297,1216,EQ,NSE,NSE,True
GRASIM,"GRASIM INDUSTRIES",315393,1232,EQ,NSE,NSE,True
GREAVESCOT,"GREAVES COTTON",316161,1235,EQ,NSE,NSE,True
GSFC,"GUJ STATE FERT & CHEM",319233,1247,EQ,NSE,NSE,True
CASTROLIND,"CASTROL INDIA",320001,1250,EQ,NSE,NSE,True
GUJALKALI,"GUJARAT ALKALIES & CHEM",324353,1267,EQ,NSE,NSE,True
AMBUJACEM,"AMBUJA CEMENTS",325121,1270,EQ,NSE,NSE,True
GFLLIMITED,"GFL",329985,1289,EQ,NSE,NSE,True
HARRMALAYA,"HARRISON MALAYALAM",336129,1313,EQ,NSE,NSE,True
GALAXYSURF,"GALAXY SURFACTANTS",336641,1315,EQ,NSE,NSE,True
HCL-INSYS,"HCL INFOSYSTEMS",339713,1327,EQ,NSE,NSE,True
MARINE,"MARINE ELECTRICAL (I)",339969,1328,EQ,NSE,NSE,True
HDFCBANK,"HDFC BANK",341249,1333,EQ,NSE,NSE,True
HEG,"HEG",342017,1336,EQ,NSE,NSE,True
SDBL,"SOM DIST & BREW",342529,1338,EQ,NSE,NSE,True
HEROMOTOCO,"HERO MOTOCORP",345089,1348,EQ,NSE,NSE,True
HIMATSEIDE,"HIMATSINGKA SEIDE",348161,1360,EQ,NSE,NSE,True
HINDALCO,"HINDALCO  INDUSTRIES",348929,1363,EQ,NSE,NSE,True
