Symbol,Name,InstrumentToken,ExchangeToken,InstrumentType,Segment,Exchange,IsActive
LT,"LARSEN & TOUBRO",2939649,11483,EQ,NSE,NSE,True
KRIDHANINF-BE,"KRIDHAN INFRA",2940929,11488,EQ,NSE,NSE,True
APARINDS,"APAR INDUSTRIES",2941697,11491,EQ,NSE,NSE,True
AMBICAAGAR,"AMBICA AGAR & AROMAINDLTD",2942977,11496,EQ,NSE,NSE,True
CENTEXT,"CENTURY EXTRUSIONS",2946817,11511,EQ,NSE,NSE,True
NIITLTD,"NIIT",2949633,11522,EQ,NSE,NSE,True
EMIL,"ELECTRONICS MART IND",2951681,11530,EQ,NSE,NSE,True
ULTRACEMCO,"ULTRATECH CEMENT",2952193,11532,EQ,NSE,NSE,True
TCS,"TATA CONSULTANCY SERV LT",2953217,11536,EQ,NSE,NSE,True
HDFCMOMENT,"HDFC NIFTY200 MOMENTUM 30 ETF",2953729,11538,EQ,NSE,NSE,True
COFORGE,"COFORGE",2955009,11543,EQ,NSE,NSE,True
HDFCLOWVOL,"HDFC NIFTY100 LOW VOLATILITY 30 ETF",2956033,11547,EQ,NSE,NSE,True
TEXINFRA,"TEXMACO INFRA & HOLDG",2956545,11549,EQ,NSE,NSE,True
HDFCMOINAV,"HDFCAMC - HDFCMOMENT",2957057,11551,EQ,NSE,NSE,True
HDFCLVINAV,"HDFCAMC - HDFCLOWVOL",2957569,11553,EQ,NSE,NSE,True
DCI,"DC INFOTECH AND COMUN",2960897,11566,EQ,NSE,NSE,True
PPLPHARMA,"PIRAMAL PHARMA",2962177,11571,EQ,NSE,NSE,True
FORCEMOT,"FORCE MOTORS",2962689,11573,EQ,NSE,NSE,True
WESTLIFE,"WESTLIFE FOODWORLD",2964481,11580,EQ,NSE,NSE,True
TRACXN,"TRACXN TECHNOLOGIES",2964993,11582,EQ,NSE,NSE,True
GULFPETRO-BE,"GP PETROLEUMS",2965505,11584,EQ,NSE,NSE,True
HDFCNIFTY,"HDFC NIFTY 50 ETF",2967297,11591,EQ,NSE,NSE,True
HDFCSENSEX,"HDFC BSE SENSEX ETF",2967809,11593,EQ,NSE,NSE,True
LINCOLN,"LINCOLN PHARMA",2968577,11596,EQ,NSE,NSE,True
GUFICBIO,"GUFIC BIOSCIENCES",2971137,11606,EQ,NSE,NSE,True
ASTRAMICRO,"ASTRA MICROWAVE",2974209,11618,EQ,NSE,NSE,True
GOLDENTOBC-BZ,"GOLDEN TOBACCO",2974465,11619,EQ,NSE,NSE,True
